issue_id,severity,rule,cwe,file,line,status,evidence
8914f2c1-b0c6-11f1-a946-1258f406b98f,High,Authentication.Credentials.Unprotected,522,backend/app/routers/whatsapp.py,626,FP-ACCEPT,UUID／公開 client id／測試假 fixture（已 regex 驗證檔內無真 secret pattern）— backend/app/routers/whatsapp.py:626
8914f2cd-b0c6-11f1-a946-1258f406b98f,High,Authentication.Credentials.Unprotected,522,backend/migrations/001_crm_foundation.sql,496,FP-ACCEPT,UUID／公開 client id／測試假 fixture（已 regex 驗證檔內無真 secret pattern）— backend/migrations/001_crm_foundation.sql:496
8914f2d0-b0c6-11f1-a946-1258f406b98f,High,Authentication.Credentials.Unprotected,522,backend/migrations/001_crm_foundation.sql,497,FP-ACCEPT,UUID／公開 client id／測試假 fixture（已 regex 驗證檔內無真 secret pattern）— backend/migrations/001_crm_foundation.sql:497
8914f2d3-b0c6-11f1-a946-1258f406b98f,High,Authentication.Credentials.Unprotected,522,backend/migrations/001_crm_foundation.sql,498,FP-ACCEPT,UUID／公開 client id／測試假 fixture（已 regex 驗證檔內無真 secret pattern）— backend/migrations/001_crm_foundation.sql:498
8995c8d0-b0c6-11f1-a946-1258f406b98f,High,Authentication.Credentials.Unprotected,522,backend/migrations/001_crm_foundation.sql,499,FP-ACCEPT,UUID／公開 client id／測試假 fixture（已 regex 驗證檔內無真 secret pattern）— backend/migrations/001_crm_foundation.sql:499
8995c8d3-b0c6-11f1-a946-1258f406b98f,High,Authentication.Credentials.Unprotected,522,backend/migrations/001_crm_foundation.sql,500,FP-ACCEPT,UUID／公開 client id／測試假 fixture（已 regex 驗證檔內無真 secret pattern）— backend/migrations/001_crm_foundation.sql:500
8995c8d6-b0c6-11f1-a946-1258f406b98f,High,Authentication.Credentials.Unprotected,522,backend/migrations/001_crm_foundation.sql,501,FP-ACCEPT,UUID／公開 client id／測試假 fixture（已 regex 驗證檔內無真 secret pattern）— backend/migrations/001_crm_foundation.sql:501
8995c8dc-b0c6-11f1-a946-1258f406b98f,High,Authentication.Credentials.Unprotected,522,backend/migrations/012_memory_cleanup.sql,28,FP-ACCEPT,UUID／公開 client id／測試假 fixture（已 regex 驗證檔內無真 secret pattern）— backend/migrations/012_memory_cleanup.sql:28
8995c8df-b0c6-11f1-a946-1258f406b98f,High,Authentication.Credentials.Unprotected,522,backend/migrations/012_memory_cleanup.sql,35,FP-ACCEPT,UUID／公開 client id／測試假 fixture（已 regex 驗證檔內無真 secret pattern）— backend/migrations/012_memory_cleanup.sql:35
8995c8e2-b0c6-11f1-a946-1258f406b98f,High,Authentication.Credentials.Unprotected,522,backend/migrations/012_memory_cleanup.sql,98,FP-ACCEPT,UUID／公開 client id／測試假 fixture（已 regex 驗證檔內無真 secret pattern）— backend/migrations/012_memory_cleanup.sql:98
